experimento,fecha_bloque,algoritmo,semilla,lambda,colapso,metrica_sla,costo_por_pedido,unidades_bloque
1,2028-11-02,ACS,2,1.0000,true,,,4585
1,2028-11-02,ACS,3,1.0000,true,,,4585
1,2028-11-02,ACS,4,1.0000,true,,,4585
1,2028-11-02,ACS,5,1.0000,true,,,4585
1,2028-11-02,GRASP_VNS,1,1.0000,true,,,4585
1,2028-11-02,GRASP_VNS,2,1.0000,true,,,4585
1,2028-11-02,GRASP_VNS,3,1.0000,true,,,4585
1,2028-11-02,GRASP_VNS,4,1.0000,true,,,4585
1,2028-11-02,GRASP_VNS,5,1.0000,true,,,4585
1,2028-06-02,ACS,1,1.0000,true,,,4506
1,2028-06-02,ACS,2,1.0000,true,,,4506
1,2028-06-02,ACS,3,1.0000,true,,,4506
1,2028-06-02,ACS,4,1.0000,true,,,4506
1,2028-06-02,ACS,5,1.0000,true,,,4506
1,2028-06-02,GRASP_VNS,1,1.0000,true,,,4506
1,2028-06-02,GRASP_VNS,2,1.0000,true,,,4506
1,2028-06-02,GRASP_VNS,3,1.0000,true,,,4506
1,2028-06-02,GRASP_VNS,4,1.0000,true,,,4506
1,2028-06-02,GRASP_VNS,5,1.0000,true,,,4506
1,2028-04-04,ACS,1,1.0000,true,,,4496
1,2028-04-04,ACS,2,1.0000,true,,,4496
1,2028-04-04,ACS,3,1.0000,true,,,4496
1,2028-04-04,ACS,4,1.0000,true,,,4496
1,2028-04-04,ACS,5,1.0000,true,,,4496
1,2028-04-04,GRASP_VNS,1,1.0000,true,,,4496
1,2028-04-04,GRASP_VNS,2,1.0000,true,,,4496
1,2028-04-04,GRASP_VNS,3,1.0000,true,,,4496
1,2028-04-04,GRASP_VNS,4,1.0000,true,,,4496
1,2028-04-04,GRASP_VNS,5,1.0000,true,,,4496
1,2028-07-04,ACS,1,1.0000,true,,,4519
1,2028-07-04,ACS,2,1.0000,true,,,4519
1,2028-07-04,ACS,3,1.0000,true,,,4519
1,2028-07-04,ACS,4,1.0000,true,,,4519
1,2028-07-04,ACS,5,1.0000,true,,,4519
1,2028-07-04,GRASP_VNS,1,1.0000,true,,,4519
1,2028-07-04,GRASP_VNS,2,1.0000,true,,,4519
1,2028-07-04,GRASP_VNS,3,1.0000,true,,,4519
1,2028-07-04,GRASP_VNS,4,1.0000,true,,,4519
1,2028-07-04,GRASP_VNS,5,1.0000,true,,,4519
1,2028-07-03,ACS,1,1.0000,true,,,4363
1,2028-07-03,ACS,2,1.0000,true,,,4363
1,2028-07-03,ACS,3,1.0000,true,,,4363
1,2028-07-03,ACS,4,1.0000,true,,,4363
1,2028-07-03,ACS,5,1.0000,true,,,4363
1,2028-07-03,GRASP_VNS,1,1.0000,true,,,4363
1,2028-07-03,GRASP_VNS,2,1.0000,true,,,4363
1,2028-07-03,GRASP_VNS,3,1.0000,true,,,4363
1,2028-07-03,GRASP_VNS,4,1.0000,true,,,4363
1,2028-07-03,GRASP_VNS,5,1.0000,true,,,4363
1,2028-05-05,ACS,1,1.0000,true,,,4406
1,2028-05-05,ACS,2,1.0000,true,,,4406
1,2028-05-05,ACS,3,1.0000,true,,,4406
1,2028-05-05,ACS,4,1.0000,true,,,4406
1,2028-05-05,ACS,5,1.0000,true,,,4406
1,2028-05-05,GRASP_VNS,1,1.0000,true,,,4406
1,2028-05-05,GRASP_VNS,2,1.0000,true,,,4406
1,2028-05-05,GRASP_VNS,3,1.0000,true,,,4406
1,2028-05-05,GRASP_VNS,4,1.0000,true,,,4406
1,2028-05-05,GRASP_VNS,5,1.0000,true,,,4406
1,2028-09-01,ACS,1,1.0000,true,,,4400
1,2028-09-01,ACS,2,1.0000,true,,,4400
1,2028-09-01,ACS,3,1.0000,true,,,4400
1,2028-09-01,ACS,4,1.0000,true,,,4400
1,2028-09-01,ACS,5,1.0000,true,,,4400
1,2028-09-01,GRASP_VNS,1,1.0000,true,,,4400
1,2028-09-01,GRASP_VNS,2,1.0000,true,,,4400
1,2028-09-01,GRASP_VNS,3,1.0000,true,,,4400
1,2028-09-01,GRASP_VNS,4,1.0000,true,,,4400
1,2028-09-01,GRASP_VNS,5,1.0000,true,,,4400
1,2028-04-01,ACS,1,1.0000,true,,,4326
1,2028-04-01,ACS,2,1.0000,true,,,4326
1,2028-04-01,ACS,3,1.0000,true,,,4326
1,2028-04-01,ACS,4,1.0000,true,,,4326
1,2028-04-01,ACS,5,1.0000,true,,,4326
1,2028-04-01,GRASP_VNS,1,1.0000,true,,,4326
1,2028-04-01,GRASP_VNS,2,1.0000,true,,,4326
1,2028-04-01,GRASP_VNS,3,1.0000,true,,,4326
1,2028-04-01,GRASP_VNS,4,1.0000,true,,,4326
1,2028-04-01,GRASP_VNS,5,1.0000,true,,,4326
1,2028-06-06,ACS,1,1.0000,true,,,4273
1,2028-06-06,ACS,2,1.0000,true,,,4273
1,2028-06-06,ACS,3,1.0000,true,,,4273
1,2028-06-06,ACS,4,1.0000,true,,,4273
1,2028-06-06,ACS,5,1.0000,true,,,4273
1,2028-06-06,GRASP_VNS,1,1.0000,true,,,4273
1,2028-06-06,GRASP_VNS,2,1.0000,true,,,4273
1,2028-06-06,GRASP_VNS,3,1.0000,true,,,4273
1,2028-06-06,GRASP_VNS,4,1.0000,true,,,4273
1,2028-06-06,GRASP_VNS,5,1.0000,true,,,4273
1,2028-09-05,ACS,1,1.0000,true,,,4385
1,2028-09-05,ACS,2,1.0000,true,,,4385
1,2028-09-05,ACS,3,1.0000,true,,,4385
1,2028-09-05,ACS,4,1.0000,true,,,4385
1,2028-09-05,ACS,5,1.0000,true,,,4385
1,2028-09-05,GRASP_VNS,1,1.0000,true,,,4385
1,2028-09-05,GRASP_VNS,2,1.0000,true,,,4385
1,2028-09-05,GRASP_VNS,3,1.0000,true,,,4385
1,2028-09-05,GRASP_VNS,4,1.0000,true,,,4385
1,2028-09-05,GRASP_VNS,5,1.0000,true,,,4385
1,2028-07-06,ACS,1,1.0000,true,,,4279
1,2028-07-06,ACS,2,1.0000,true,,,4279
1,2028-07-06,ACS,3,1.0000,true,,,4279
1,2028-07-06,ACS,4,1.0000,true,,,4279
1,2028-07-06,ACS,5,1.0000,true,,,4279
1,2028-07-06,GRASP_VNS,1,1.0000,true,,,4279
1,2028-07-06,GRASP_VNS,2,1.0000,true,,,4279
1,2028-07-06,GRASP_VNS,3,1.0000,true,,,4279
1,2028-07-06,GRASP_VNS,4,1.0000,true,,,4279
1,2028-07-06,GRASP_VNS,5,1.0000,true,,,4279
1,2028-04-03,ACS,1,1.0000,true,,,4193
1,2028-04-03,ACS,2,1.0000,true,,,4193
1,2028-04-03,ACS,3,1.0000,true,,,4193
1,2028-04-03,ACS,4,1.0000,true,,,4193
1,2028-04-03,ACS,5,1.0000,true,,,4193
1,2028-04-03,GRASP_VNS,1,1.0000,true,,,4193
1,2028-04-03,GRASP_VNS,2,1.0000,true,,,4193
1,2028-04-03,GRASP_VNS,3,1.0000,true,,,4193
1,2028-04-03,GRASP_VNS,4,1.0000,true,,,4193
